Absonancia;falta de harmonia entre duas ou mais coisas.
Acodamento;ato de ter pressa ou precipitacao.
Acrimonia;relativo a azedar, azedo. Exemplo: Adicione limao ao iogurte e a mistura estara acrimonia.
Admoesta;perdao, isencao, arrego, repreensao, reprimenda. Exemplo: Ela sempre admoesta a filha.
Adregar;acontecer ao acaso, conseguir ou encontrar algo por acaso.
Adrica;termo nautico que designa o cabo que ica as bandeiras na embarcacao.
Adstrito;ligacao a algo, alguma coisa ou alguem. Exemplo: Voce esta adstrito ao casamento.
Afasia;perda da capacidade de se expressar ou de compreender atraves da linguagem.
Alarido;confusao, algazarra, farra.
Alcunha;apelido.
Aleivosia;atitude de quem e traicoeiro e desleal.
Alvissaras;expressao de alegria devido a noticia recebida. Exemplo: Em alvissaras ao receber o convidado.
Amago;aquilo que e do interior profundo do corpo, sentimento. Exemplo: O amago estava fragilizado.
Apanagio;privilegio e regalia de uma pessoa ou um grupo.
Ardiloso;manhoso, esperto.
Arquetipo;aquilo que serve de modelo ou padrao para ser copiado.
Arroubo;entusiasmo, fervor, encanto.
Assisado;caracteristica de quem age com juizo.
Astenia;diminuicao da forca fisica.
Azado;algo que e proprio ou oportuno.
Babugem;espuma do mar.
Balaustre;pequena coluna ornamentada utilizada em cercas.
Balburdia;baderna, bagunca, confusao.
Bambaleadura;ato de bambalear (bambolear, saracotear).
Barafustar;movimentar-se de forma descontrolada, em linguagem figurada significa protestar.
Bazofia;excesso de vaidade, designa a pessoa que se orgulha de forma exagerada de suas qualidades ou facanhas.
Belicoso;relativo à guerreiro, aguerrido. Exemplo: O homem belicoso jamais vive num mundo de paz.
Beneplacito;aquilo que e consentido e celebrado. Exemplo: Ele foi beneplacito com sua aproximacao de flerte.
Berma;beira, acostamento.
Besugo;pequeno peixe acantopterigio vulgar.
Bouca;terreno nao cultivado.
Caiadela;revestimento feito com cal.
Capcioso;aquele que e enganoso, em quem/algo que nao e possivel confiar. Exemplo: A estrategia era capciosa.
Caracente;sinonimo de carente, aquele que carece.
Carenado;adjetivo que se refere a um objeto ou animal que possui carena, uma saliencia no dorso.
Casiteu;casinha pobre, o mesmo que casebre.
Chistoso;relativo a brincalhao, jocoso, piadista. Exemplo: Ele era chistoso com as criancas.
Ciciar;sibilar, sussurrar.
Cineangiocoronariografia;exame feito para obter informacoes das arterias e do coracao.
Cinesia;capacidade de se movimentar.
Consentaneo;que e adequado e conveniente.
Consociacao;compatibilidade ou combinacao de ideias.
Cornucopia;abundancia, vaso em forma de chifre cheio de flores e frutos que representa a fartura.
Corolario;resultado final, uma conclusao findada. Exemplo: O corolario de beber em demasia e uma cirrosa hepatica.
Cuntatorio;que e feito com atraso ou demora.
Curra;abuso sexual.
Custodiado;que esta detido, resguardado ou protegido.
Dacriocistossiringotomia;incisao do saco lacrimal e do ducto lacrimal.
Dandi;quem procura sempre se vestir com elegancia. Exemplo: Vestia-se tal qual um Dandi.
Dardejar;atirar dados, em linguagem figurada, agredir moralmente uma pessoa.
Dealbacao;ato de tornar branco ou alvejar, o mesmo que branqueamento.
Desasnado;aquele que recebe instrucoes. Exemplo: Parece desasnado apos o treinamento intenso.
Dilapidar;desperdicar, estragar, destruir.
Diligencia;empenho, cuidado e prontidao na realizacao de algo.
Dissentir;discorda com veemencia. Exemplo: Dissentiu do acordo estabelecido.
Dissintir;discorda com veemencia.
Duidade;unidade formada por dois, o mesmo que par.
Ebia;engano, erro.
Efluvio;relativo a aroma. Exemplo: Seu efluvio era um atrativo.
Elucubracao;reflexao e meditacao profunda sobre os assuntos.
Empedernido;aquele que nao se deixa persuadir ou nao se comove. Exemplo: Tao empedernido que nem a morte do pai o abate.
Encomio;elogio que se faz a alguem ou alguma coisa.
Engodar;mentir, enganar.
Engodo;mentira, atitude falsa para atrair alguem. Exemplo: Recusava-a como engodo.
Escrutinio;exame minucioso e detalhado.
Estrenuo;corajoso, zeloso.
Exordio;principio, origem.
Exortacao;incitacao ou encorajamento para fazer alguma coisa.
Extemporaneo;que acontece fora do tempo devido.
Falaz;quem ilude com palavras e/ou fala. Exemplo: Seu discurso era falaz.
Fanado;apertado, escasso.
Fatuidade;vaidade, presuncao.
Fenecimento;que abrange o fim. Exemplo: A parte destinada aos questionamentos era o fenecimento da palestra.
Filaucioso;caracteristica de quem tem muito amor-proprio, relativo a presuncao. Exemplo: Tinha um ar filaucioso e era possivel ver nos seus olhos.
Fleumatico;quem nao pode ser perturbado. Exemplo: Ao entrar no quarto, tornava-se fleumatico.
Frugal;relativo a simplicidade. Exemplo: Era frugal, apesar de ser rico.
Fugaz;passar rapido. Exemplo: O tempo era fugaz com os bons momentos.
Gorjear;produzir sons agradaveis.
Gracolar;fazer gracolas, brincadeiras, jocosidades. Exemplo: Gracolava junto ao sogro.
Halo;circunferencia luminosa que se forma em torno de fontes de luz.
Hebdomadario;semanal.
Hodierno;relativo aos dias de hoje, o que ocorre atualmente.
Homizio;abrigo, fortaleza, refugio, esconderijo. Exemplo: Era um homizio certo caso ocorresse um apocalipse zumbi.
Horripilo;aquilo que causa espanto, susto e medo. Exemplo: Suas roupas eram horripilas.
Iconoclasta;aquele que contesta venerar simbolos religiosos. Exemplos: Um iconoclasta nao pode pintar a capela.
Idiossincrasia;referente à caracteristica pessoal, respeito à personalidade. Exemplo: Segundo a idiossincrasia oriental, curvou-se ao imperador.
Igneo;que apresenta caracteristica ardente, calorosa. Exemplo: A pedra era de cor vermelha, apresentando-se como ignea.
Ignobil;sem carater, vergonhoso.
Incolume;intacto.
Infundibuliforme;que e afunilado, tendo a forma de um funil.
Inocuo;respectivo a inofensivo. Exemplo: Apesar da face brava, era inocuo.
Iracundo;alguem com predisposicao à ira, o mesmo que irascivel.
Irrupcao;entrada violenta, pancada forte.
Jaez;algo relativo a uma maneira, qualidade. Exemplo: Foi criado sob a jaez britanica da pontualidade.
Janota;com boas vestimentas, formal. Exemplos: Ela estava janota no vestido que delineava seu corpo.
Justapor;colocar proximo, lado a lado. Exemplo: Justaponha sua cadeira à minha.
Juvenilizante;que rejuvenesce.
Kafkaesco;que se assemelha às propostas de Kafka.
Lauto;abundante, referente a grande quantidade. Exemplos: Oferecerei um lauto valor pela casa.
Lhaneza;qualidade de quem e franco, sincero, despretensioso.
Loquaz;quem fala muito. Exemplo: Era loquaz, por isso sua palestra durava longas seis horas.
Macambuzio;triste, melancolico, sombrio.
Machucho;pessoa rica, pessoa corpulenta.
Malsinar;acao de distorcer o sentido de algo ou de relevar um segredo.
Mediatario;aquele que e o mediador de algo. Exemplo: Como o mediatario da sessao, teremos o Dr. Jose.
Mendacioso;aquele que mente.
Modorrento;lento, apatico, entediante.
Muxoxo;chiado produzido pela boca em sinal de desprezo.
Nefelibata;pessoa que vive longe da realidade, escritor que foge do convencional.
Nitidificar;deixar algo nitido. Exemplo: Nitidificou que ele nao poderia repetir o ato.
Nodoa;sujeira, mancha, pode ser tambem a alcunha de uma pessoa de ma fama.
Nodua;pessoa de ma fama, suja. Exemplo: Essa pessoa e nodua, vive aplicando golpes para enriquecer.
Noxio;que e nocivo e causa danos.
Numismatica;estudo ou colecao de moedas e cedulas antigas.
Nuperrimo;que e muito recente ou novo.
Odiento;aquele que guarda odio, magoa e rancor. Exemplo: Era odiento com quem mentia para ele.
Ontico;relativo ao ser.
Oprobrio;relativo à vergonha ou ofensa. Exemplo: Os politicos cobriram de oprobrios a historia do Brasil.
Osculo;beijo, com o sentido de cumprimento ou conciliacao.
Ostracizacao;ato de condenar ao ostracismo (exclusao da comunidade, esquecimento).
Pachorrento;calmo, sereno, acomodado.
Pacovio;imbecil, ignorante.
Panegirico;discurso elogioso.
Parassimpatomimetico;tipo de droga que age no sistema nervoso parassimpatico.
Peculio;relativo à patrimonio financeiro acumulado. Exemplo: Conquistou seu peculio com heranca.
Perdulario;gastador, aquele que esbanja, ostentador. Exemplo: Entrava na loja de roupas e virava o verdadeiro perdulario.
Perene;que dura muito, imortal.
Perfido;cruel, traidor, desgradado.
Pernostico;pretensioso, esnobe.
Perscrutar;vasculhar, procurar, revirar.
Petiz;crianca, adolescente.
Plaga;referente a regiao ou pais. Exemplo: De qual plaga do Brasil vens?
Postigo;pequena janela, abertura em portas e janelas.
Prestidigitacao;tecnica de ilusionismo e magica com as maos.
Procrastinar;adiantar afazeres sem a tendencia de finaliza-los. Exemplo: Procrastinou a semana inteira, agora tem tarefas acumuladas.
Prolegomenos;introducao expositiva de uma obra escrita, em uma acepcao mais abrangente significa periodo preparatorio.
Quidam;pessoa insignificante, sem importancia.
Quimera;sonho que nao e possivel realizar.
Quintessencia;auge, maximo, primor.
Quistoso;aquele que tem quisto (tipo de tumor).
Recondito;aquilo que e secreto, oculto, escondido. Exemplo: Mantinha o cofre da casa recondito.
Refrigerio;qualquer tipo de alivio ou consolo.
Resposteiro;cortina geralmente grossa usada para proteger portas e janelas.
Restolho;o que sobra da cana dos cereais apos a ceifa, em um sentido mais amplo significa resto.
Retrogradacao;acao de retroceder, de andar para tras.
Ruar;sair pela rua sem destino. Exemplo: Ruava madrugada dentro.
Rubicundo;avermelhado.
Rufiao;brigao, encrenqueiro, valentao, quem pratica bullying.
Sectario;intolerante, instransigente, extremista, fanatico.
Somitico;avarento, mesquinho.
Sorumbatico;pessoa que sempre apresenta feicoes tristes e sombrias.
Sumidade;personalidade importante, sabio.
Suscitar;fazer surgir, encorajar, provocar.
Tacito;que nao se expressa por palavras, sendo silencioso e secreto.
Taciturno;aquele que permanece calado constantemente. Exemplo: Permanecia taciturno enquanto o professor falava.
Telurico;algo relativo à Terra ou ao solo.
Temporaneidade;caracteristica do que e temporario e provisorio.
Tergiversar;sem rodeios para falas, hesitacao. Exemplo: Nao tente tergiversar, pois sabemos o que os candidatos almejam.
Traquelossuboccipital;musculos retos anteriores da cabeca.
Troada;ato ou efeito de troar (produzir estrondo, trovejar).
Ufanismo;aquele que se orgulha exageradamente de algo. Exemplo: Os torcedores do passado sao ufanistas com seu clube.
Urdidura;trama, enredo, intriga.
Urze;nome generico de varios tipos de arbustos.
Veneta;acesso de loucura, descontrole emocional. Exemplo: Tinha uma veneta por dia.
Vicissitude;inconstancia, instabilidade e variacao dos acontecimentos.
Visagem;rosto, cara, o termo e usado no Brasil como sinonimo de aparicao, assombracao.
Vituperio;ato ou efeito de injuriar, insultar ou censurar.
Xalavar;rede que se usa para medir a quantidade de peixe pescado.
Xaropear;aborrecer.
Xifopago;gemeo unido ao irmao por alguma parte do corpo, gemeo siames.
Xilofago;animais que se alimentam de madeira, como os cupins.
Yanomami;denominacao do povo indigena que habita o Brasil e a Venezuela.
Zaragatoa;pequena haste com uma ponta absorvente utilizada para a aplicacao de medicamento ou coleta de material organico.
Zefiro;vento suave e fresco, brisa.
Zenite;ponto do ceu localizado exatamente acima de quem observa, em sentido mais amplo, significa apogeu, apice, auge.
Zeugma;figura de linguagem em que ha omissao de palavras que ja foram enunciadas anteriormente.
Zoomorfico;que apresenta forma de animal.